0,1,2,3,4,5,6,7,8
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec,stop hour,stop min
15111,138-1,20분,2020-06-03,17,10,47,17,30
15117,138-1,22분,2020-06-03,17,10,48,17,32
15121,138-1,24분,2020-06-03,17,10,50,17,34
15098,138-1,1분,2020-06-03,17,10,53,17,11
15081,138-1,2분,2020-06-03,17,10,55,17,12
15254,138-1,3분,2020-06-03,17,10,56,17,13
15073,138-1,7분,2020-06-03,17,10,58,17,17
15069,138-1,11분,2020-06-03,17,10,59,17,21
15085,138-1,12분,2020-06-03,17,11,1,17,23
15143,138-1,14분,2020-06-03,17,11,2,17,25
15072,138-1,8분,2020-06-03,17,11,4,17,19
15255,138-1,9분,2020-06-03,17,11,5,17,20
15082,138-1,10분,2020-06-03,17,11,7,17,21
15097,138-1,12분,2020-06-03,17,11,9,17,23
15284,138-1,13분,2020-06-03,17,11,11,17,24
15118,138-1,2분,2020-06-03,17,11,14,17,13
15115,138-1,4분,2020-06-03,17,11,16,17,15
15113,138-1,5분,2020-06-03,17,11,18,17,16
5112,138-1,6분,2020-06-03,17,11,19,17,17
5146,138-1,7분,2020-06-03,17,11,21,17,18
5147,138-1,8분,2020-06-03,17,11,23,17,19
5148,138-1,9분,2020-06-03,17,11,25,17,20
5149,138-1,10분,2020-06-03,17,11,26,17,21
5150,138-1,10분,2020-06-03,17,11,28,17,21
5152,138-1,12분,2020-06-03,17,11,30,17,23
5158,138-1,2분,2020-06-03,17,11,33,17,13
5193,138-1,4분,2020-06-03,17,11,35,17,15
5321,138-1,7분,2020-06-03,17,11,36,17,18
5277,138-1,9분,2020-06-03,17,11,38,17,20
5253,138-1,10분,2020-06-03,17,11,40,17,21
5257,138-1,11분,2020-06-03,17,11,41,17,22
5259,138-1,1분,2020-06-03,17,11,43,17,12
7034,138-1,3분,2020-06-03,17,11,45,17,14
7168,138-1,4분,2020-06-03,17,11,46,17,15
7035,138-1,5분,2020-06-03,17,11,48,17,16
7067,138-1,8분,2020-06-03,17,11,50,17,19
7043,138-1,8분,2020-06-03,17,11,51,17,19
5356,138-1,10분,2020-06-03,17,11,53,17,21
5357,138-1,12분,2020-06-03,17,11,55,17,23
5358,138-1,14분,2020-06-03,17,11,56,17,25
5190,138-1,5분,2020-06-03,17,11,58,17,16
5192,138-1,7분,2020-06-03,17,11,59,17,18
5340,138-1,9분,2020-06-03,17,12,1,17,21
5155,138-1,10분,2020-06-03,17,12,2,17,22
5153,138-1,12분,2020-06-03,17,12,4,17,24
5292,138-1,13분,2020-06-03,17,12,6,17,25
5101,138-1,14분,2020-06-03,17,12,7,17,26
5102,138-1,15분,2020-06-03,17,12,9,17,27
5103,138-1,17분,2020-06-03,17,12,11,17,29
5104,138-1,17분,2020-06-03,17,12,12,17,29
5108,138-1,18분,2020-06-03,17,12,14,17,30
5110,138-1,20분,2020-06-03,17,12,16,17,32
15111,138-1,20분,2020-06-03,17,12,17,17,32
15117,138-1,22분,2020-06-03,17,12,19,17,34
15121,138-1,24분,2020-06-03,17,12,21,17,36
15283,138-1,24분,2020-06-03,17,12,23,17,36
15098,138-1,25분,2020-06-03,17,12,24,17,37
15081,138-1,1분,2020-06-03,17,12,26,17,13
15254,138-1,1분,2020-06-03,17,12,28,17,13
15073,138-1,5분,2020-06-03,17,12,30,17,17
15069,138-1,9분,2020-06-03,17,12,31,17,21
15085,138-1,11분,2020-06-03,17,12,33,17,23
15143,138-1,13분,2020-06-03,17,12,35,17,25
15072,138-1,8분,2020-06-03,17,12,36,17,20
15255,138-1,9분,2020-06-03,17,12,38,17,21
15082,138-1,10분,2020-06-03,17,12,40,17,22
15097,138-1,12분,2020-06-03,17,12,41,17,24
15284,138-1,12분,2020-06-03,17,12,43,17,24
15122,138-1,13분,2020-06-03,17,12,45,17,25
15118,138-1,2분,2020-06-03,17,12,46,17,14
15115,138-1,3분,2020-06-03,17,12,48,17,15
15113,138-1,5분,2020-06-03,17,12,50,17,17
5112,138-1,6분,2020-06-03,17,12,51,17,18
5146,138-1,7분,2020-06-03,17,12,53,17,19
